model,activation,lr,batch_size,epochs,final_train_loss,final_val_loss,avg_epoch_time,test_loss
A,sigmoid,0.01,8,200,0.02541084925573345,0.04487951843380256,0.0034225881099700928,0.01510992186768814
A,sigmoid,0.01,16,100,0.028903919881418303,0.03120884505111252,0.0026235055923461916,0.024683705230413154
A,sigmoid,0.01,16,150,0.026948169555680825,0.033174931643160134,0.0023355992635091145,0.021485569655789273
A,sigmoid,0.01,16,200,0.029743991449130133,0.030635769800426472,0.002527259588241577,0.028597833554947834
A,sigmoid,0.01,32,100,0.02712771583212102,0.04011490684843334,0.0017763447761535644,0.015667800588892375
A,sigmoid,0.01,32,150,0.02875471396087945,0.04561533539536391,0.0018678394953409831,0.014943988005723729
A,sigmoid,0.01,32,200,0.027321080128629563,0.043089483748068806,0.0018135154247283937,0.014946561809208414
A,sigmoid,0.001,8,100,0.027206391792649387,0.03622339133117033,0.0032893824577331543,0.01786396322432172
A,sigmoid,0.001,8,150,0.026877315575495164,0.0365817812395818,0.003481616973876953,0.01706882014918881
A,sigmoid,0.001,8,200,0.02656033088357379,0.03564991340436206,0.003337210416793823,0.01764542785377802
A,sigmoid,0.001,16,100,0.027662657504096393,0.036874164633615036,0.00242375373840332,0.017559733817387825
A,sigmoid,0.001,16,150,0.027551113202578806,0.037412360717020365,0.0035732809702555338,0.017409671799637767
A,sigmoid,0.001,16,200,0.02747468895160278,0.03660243309802984,0.004150042533874512,0.018191407412920836
A,sigmoid,0.001,32,100,0.027617209010800232,0.03846926927704631,0.0017444825172424317,0.016568671066036256
A,sigmoid,0.001,32,150,0.02724852032869802,0.035301825553764314,0.001781133015950521,0.018333743539130427
A,sigmoid,0.001,32,200,0.027315628325490008,0.03699437877950846,0.0018471717834472657,0.017357256040187587
A,sigmoid,0.0001,8,100,0.027401889877208523,0.036994225226161824,0.0033436203002929687,0.017076552959891685
A,sigmoid,0.0001,8,150,0.027570556739331124,0.037045869963317046,0.0033383719126383465,0.01715624319830493
A,sigmoid,0.0001,8,200,0.027398000459818217,0.03723983656947491,0.003556668758392334,0.017315811009838103
A,sigmoid,0.0001,16,100,0.027333408418774907,0.03653885060762742,0.002386007308959961,0.01735969871096147
A,sigmoid,0.0001,16,150,0.027425695099887473,0.0369924088355578,0.0025335121154785156,0.017205004726061214
A,sigmoid,0.0001,16,200,0.027481576385733317,0.03731379425742038,0.002392849922180176,0.01728331360101149
A,sigmoid,0.0001,32,100,0.02757455483858299,0.03828962326238504,0.0018418717384338379,0.016613450220017093
A,sigmoid,0.0001,32,150,0.027421553565292245,0.03884475929692232,0.0018875980377197265,0.016568854083142556
A,sigmoid,0.0001,32,200,0.027336701175538165,0.037540659693682275,0.0017783832550048828,0.01698906058393464
B,relu,0.01,8,100,0.027138787080578552,0.036775033687604555,0.003927209377288818,0.01743262244612561
B,relu,0.01,8,150,0.02713223570126508,0.036821793569506184,0.004101030031840007,0.017392142175839967
B,relu,0.01,8,200,0.027021415604266196,0.036580217894080246,0.00809873104095459,0.01737111693477544
B,relu,0.01,16,100,0.027378376197440667,0.037319196135660565,0.005326132774353027,0.01720496397717708
B,relu,0.01,16,150,0.02729181724350366,0.037224488560152355,0.0046885379155476884,0.017143871206127557
B,relu,0.01,16,200,0.02717131083750866,0.03723489501930491,0.00260324239730835,0.01708133721747069
B,relu,0.01,32,100,0.027448308837325068,0.038241817241055534,0.0018496179580688476,0.016638842346554758
B,relu,0.01,32,150,0.027293867104169384,0.036885224757588896,0.002024836540222168,0.01739841940457513
B,relu,0.01,32,200,0.027309510425402816,0.037525972506740744,0.0017769622802734375,0.017023511432006425
B,relu,0.001,8,100,0.028526713753632714,0.04300829249024573,0.004034757614135742,0.015152382923811573
B,relu,0.001,8,150,0.0276416236256834,0.03946586735514228,0.0039045238494873047,0.01611688183253198
B,relu,0.001,8,200,0.02748297087897701,0.03838700702036411,0.0041398990154266355,0.016513964440358603
B,relu,0.001,16,100,0.031785068862582665,0.05095130231345655,0.002909979820251465,0.0152330852102117
B,relu,0.001,16,150,0.02877779047470174,0.043676995343188287,0.0026030333836873374,0.015126613019334918
B,relu,0.001,16,200,0.028442873598133966,0.0425172990697001,0.00267452597618103,0.015243393580312545
B,relu,0.001,32,100,0.035590174448011005,0.058235588443186395,0.001815671920776367,0.01669636800543581
B,relu,0.001,32,150,0.032116812757797146,0.05153998819174493,0.0019493055343627929,0.015367587786728063
B,relu,0.001,32,200,0.03027930631848633,0.047710160027101364,0.0021222305297851564,0.014957226692350455
B,relu,0.0001,8,100,0.040434525805910775,0.06645351529500126,0.004107966423034668,0.019213939420735373
B,relu,0.0001,8,150,0.03866878982917851,0.06354174674799558,0.003996389706929525,0.018217986915376568
B,relu,0.0001,8,200,0.03601662001741003,0.05900552931087743,0.004166116714477539,0.016851489798323096
B,relu,0.0001,16,100,0.04203947754863834,0.06897529067308908,0.0026703286170959473,0.020158740045524214
B,relu,0.0001,16,150,0.040781846373217204,0.06699614920677258,0.0025705862045288085,0.019391151283035812
B,relu,0.0001,16,200,0.037696903899908873,0.061830915078026155,0.0034334468841552735,0.017721183880771135
B,relu,0.0001,32,100,0.04319726733366813,0.07060729939725693,0.008217580318450927,0.02083032395675741
